match_id,innings_no,team_id,player_id,runs_scored,balls_batted,fours_scored,sixes_scored,overs_bowled,maidens,runs_conceded,wickets_taken,no_balls,wides,final_out_condition
21243,1,157,1691,47,34,4,2,0,0,0,0,0,0,c Pongolo b Phangiso
21243,1,157,614,32,23,3,2,0,0,0,0,0,0,run out (Ryan Rickelton)
21243,1,157,9718,6,4,0,1,0,0,0,0,0,0,c van der Dussen b Wiaan Mulder
21243,1,157,9724,4,7,0,0,0,0,0,0,0,0,c & b Wiaan Mulder
21243,1,157,11432,10,8,0,1,2.4,0,26,0,0,0,c Phangiso b Pretorius
21243,1,157,9801,3,4,0,0,0,0,0,0,0,0,c Lizaad Williams b Migael Pretorius
21243,1,157,9601,25,18,2,1,3.0,0,33,0,0,0,c Pongolo b Lizaad Williams
21243,1,157,7647,13,13,1,0,3.0,0,33,0,0,1,c Hendricks b Lizaad Williams
21243,1,157,9720,21,9,4,0,4.0,0,29,0,0,1,not out
21243,1,157,8530,0,0,0,0,2.0,0,21,0,0,0,not out
21243,1,157,10079,0,0,0,0,4.0,0,22,2,0,0,Did not bat
21243,2,90,13070,35,19,7,0,0,0,0,0,0,0, c & b Daryn Dupavillon
21243,2,90,9491,6,7,1,0,0,0,0,0,0,0,c Senuran Muthusamy b Daryn Dupavillon
21243,2,90,8583,52,37,2,2,0,0,0,0,0,0,not out
21243,2,90,9554,69,49,5,3,0,0,0,0,0,0,not out
21243,2,90,11200,0,0,0,0,3.0,0,23,2,0,0,Did not bat
21243,2,90,8651,0,0,0,0,1.0,0,14,1,0,0,Did not bat
21243,2,90,10675,0,0,0,0,1.0,0,15,0,0,0,Did not bat
21243,2,90,13069,0,0,0,0,4.0,0,34,1,0,1,Did not bat
21243,2,90,10676,0,0,0,0,3.0,0,24,0,0,0,Did not bat
21243,2,90,7649,0,0,0,0,4.0,0,19,1,0,0,Did not bat
21243,2,90,8531,0,0,0,0,4.0,0,33,2,0,0,Did not bat
