match_id,match_type,team1Id,team2Id,captain_1,captain_2,score_1,score_2,score 3,score 4,venue,stadium_name,date,winner,motm,series_id
22507,T20,61,255,9428,6326,162,165,0,0,"Visakhapatnam, India",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-05-08,61,10744,2810
22511,T20,446,530,10012,9072,112,113,0,0,"Jaipur, India",Sawai Mansingh Stadium,2019-05-08,530,9140,2822
